연번,배움터구분,배움터명,도로명주소,위도,경도,전화번호,데이터기준일자
89,거점센터,수영구 평생학습관,부산광역시 수영구 수영로521번길 77(광안동) ,35.15293779,129.1074637,051-610-4301,2022-11-30
90,일반배움터,망미 도서관,부산광역시 수영구 연수로315번길 23 (망미동) 망미 도서관 4층,35.17343215,129.1048547,051-610-4704,2022-11-30
91,일반배움터,수영구 생활문화센터,부산광역시 수영구 광안해변로 219 (광안동) 수영구생활문화센터,35.15377357,129.1185161,051-610-6071,2022-11-30
92,일반배움터,수영구 노인복지관,부산광역시 수영구 황령대로489번길 83(남천동) ,35.14004997,129.1111735,051-987-0201,2022-11-30
93,일반배움터,광안2동 행정복지센터,부산광역시 수영구 광안로 16번길 22 광안2동 행정복지센터,35.15578167,129.1138461,051-610-8960,2022-11-30
94,일반배움터,망미2동 행정복지센터,부산광역시 수영구 수미로35번길 40 (망미동) 망미2동 행정복지센터,35.17531035,129.1152984,051-610-6945,2022-11-30
95,일반배움터,광안노인복지관,부산광역시 수영구 장대골로 75-8 (광안동) 광인노인복지관 3층 정보화교육장,35.15956873,129.1048646,051-715-6099,2022-11-30
96,일반배움터,반여종합사회복지관,부산광역시 해운대구 재반로226번길 13-73 (반여동) 반여종합사회복지관,35.19842183,129.13179,051-784-0552,2022-11-30
97,일반배움터,희망지역아동센터,부산광역시 중구 흑교로45번길 13 (보수동3가) 1층,35.10357584,129.0236751,051-243-0912,2022-11-30
98,일반배움터,중구다함께돌봄센터,부산광역시 중구 초량상로7번길 11 (영주동) 중구 다함께 돌봄센터,35.11321322,129.0341184,051-441-5600,2022-11-30
99,일반배움터,마니맘,부산광역시 중구 대청로 63-1 (보수동1가) 5층 마니맘,35.10321384,129.0270379,051-405-0713,2022-11-30
100,일반배움터,동삼동 지역아동센터,부산광역시 영도구 동삼로59번길 14 (동삼동) 동삼동 지역아동센터(옹달샘),35.07862432,129.0696361,051-405-0713,2022-11-30
101,일반배움터,영도구 마을기업 동삼희망 커뮤니티 복합문화공간,부산광역시 영도구 동삼로 69 (동삼동) 2층,35.07956632,129.0701419,051-987-0201,2022-11-30
102,일반배움터,연산종합사회복지관,부산광역시 연제구 봉수로 17 (연산동) 연산종합사회복지관,35.17272947,129.0889055,051-863-8360,2022-11-30
103,일반배움터,밤골작은도서관,부산광역시 연제구 금련로24번길 33 (연산동) 연산3동 밤골도서관,35.1720124,129.0944506,051-665-4513,2022-11-30
104,일반배움터,연제구 가족센터,부산광역시 연제구 월드컵대로46번길 11 (연산동) 연제구가족센터,35.17881497,129.08577,051-851-5002,2022-11-30
105,일반배움터,연제구지역자활센터,부산광역시 연제구 봉수로 17 (연산동) 3층 연제구지역자활센터,35.17272947,129.0889055,051-852-8219,2022-11-30
106,일반배움터,수영구 수영강변 1차 경로당,"부산광역시 수영구 좌수영로 176 (망미동, 센텀수영강변1차e-편한세상) 수영강변 1차 경로당",35.17931755,129.1176807,051-987-0201,2022-11-30
107,일반배움터,부산서구건강가정다문화지원센터,부산광역시 서구 구덕로 127 (토성동5가) 서구가족센터 6층,35.09633318,129.0220599,051-241-6200,2022-11-30
108,일반배움터,하랑플러스,부산광역시 서구 구덕로142번길 31 (토성동4가) 하랑플러스,35.09775076,129.0228454,0507-1483-3464,2022-11-30
109,일반배움터,파란나래 돌봄센터,부산광역시 서구 망양로 29 (서대신동3가) 2층 파란나래돌봄센터,35.11330679,129.0134633,051-987-0201,2022-11-30
110,일반배움터,다대다락 다함께돌봄,부산광역시 사하구 다대로429번길 23 (다대동) 다대다락 다함께돌봄,35.06373276,128.9813079,,2022-11-30
111,일반배움터,사하종합사회복지관,부산광역시 사하구 감내2로 21 (감천동) 사하종합사회복지관,35.09446142,129.0077021,051-293-2688,2022-11-30
112,일반배움터,모라종합사회복지관,부산광역시 사상구 모라로110번길 129(모라동) ,35.18494438,128.9978728,051-304-9876,2022-11-30
113,일반배움터,부산 발달장애인 훈련센터,부산광역시 부산진구 범일로 181 (범천동) 14층 교육장,35.14621586,129.0588554,051-520-3417,2022-11-30
114,일반배움터,부산진구노인복지관 신암분관,부산광역시 부산진구 신암로135번길 32 (범천동) 부산진구노인복지관 신암분관,35.15176971,129.0483584,051-987-0201,2022-11-30
115,일반배움터,양정어르신쉼센터,부산광역시 부산진구 양지로17번길 39 (양정동) 양정어르신쉼센터,35.17037364,129.0710905,051-987-0201,2022-11-30
116,일반배움터,행복디자인교육컨설팅,부산광역시 부산진구 연수로 33 (양정동) 포산빌딩 3층,35.17446959,129.0747451,051-987-0201,2022-11-30
117,일반배움터,아름드리 문화재지킴이,부산광역시 동래구 여고북로 234 (사직동) 1층 고래커피 옆,35.20247911,129.0773987,051-987-0201,2022-11-30
118,일반배움터,참조은 다문화,부산광역시 동래구 금강로 70 (온천동) 참조은다문화,35.21530331,129.0776782,051-987-0201,2022-11-30
119,일반배움터,동구자성대노인복지관,부산광역시 동구 자성로140번길 32 (범일동) 동구자성대노인복지관,35.13564405,129.0648411,051-362-7597,2022-11-30
120,일반배움터,기러기문화원,부산광역시 남구 수영로39번길 35 (문현동) 기러기문화원,35.13856281,129.0721874,051-642-1515,2022-11-30
121,일반배움터,남구 장애인복지관,부산광역시 남구 조각공원로11번길 38 (대연동) 남구 장애인복지관,35.12923425,129.0992205,051-626-6990,2022-11-30
122,일반배움터,용호종합사회복지관,부산광역시 남구 이기대공원로 7 (용호동) 용호종합사회복지관,35.12456084,129.1134862,051-987-0201,2022-11-30
123,일반배움터,사랑샘지역아동센터,부산광역시 기장군 정관읍 정관로 580  사랑샘프라자 3층 307호,35.32062942,129.1770764,051-728-7668,2022-11-30
124,일반배움터,해바라기청소년공부방,부산광역시 기장군 기장읍 차성동로 58  해바라기청소년공부방,35.24265148,129.2172256,051-987-0201,2022-11-30
125,일반배움터,예일지역 아동센터,부산광역시 금정구 중앙대로2001번길 42(남산동) ,35.26345602,129.089625,051-987-0201,2022-11-30
126,일반배움터,금정구치매안심센터,부산광역시 금정구 중앙대로 1777 (부곡동) 금정구치매안심센터,35.2420498,129.0924585,051-987-0201,2022-11-30
127,일반배움터,부산국학원,부산광역시 금정구 중앙대로 2110 (청룡동) 4층 402호,35.27272819,129.0929477,051-987-0201,2022-11-30
128,일반배움터,강서노인종합복지관,부산광역시 강서구 체육공원로 39(대저1동) ,35.20732663,128.9734691,051-987-0201,2022-11-30
