관리기관명,경로당명,소재지,연락처,위도,경도
서구,모지포경로당,부산광역시 서구 암남공원로 230-1(암남동),051-253-3727,35.06389062,129.0146602
서구,사랑쉼표,"부산광역시 서구 천마로 25, 2층",051-256-9988,35.08052903,129.0202176
서구,송도자유비치경로당,"부산광역시 서구 천해로7번길 33(암남동,송도자유비치)",051-257-2914,35.08176331,129.0192242
서구,정림경로당,"부산광역시 서구 감천로 271(암남동,송도정림비치타운)",051-244-3322,35.08161886,129.0171060
서구,송도풍림아이원경로당,"부산광역시 서구 암남공원로 39(암남동,풍림아이원)",051-244-3322,35.07252221,129.0162035
서구,송도동일스위트,부산광역시 서구 성산길 47-17(송도동일스위트아파트),051-241-0559,35.08037297,129.0119587
서구,삼경빌라경로당,"부산광역시 서구 감천로277(암남동,삼경빌라맨션)",051-244-3607,35.07987691,129.0184441
동구,초강경로당,부산광역시 동구 초량상로35번길 18(초량동),051-468-2029,35.11560582,129.0357723
동구,초강부녀경로당,부산광역시 동구 초량상로35번길 18(초량동),051-467-7373,35.11560582,129.0357723
동구,초일경로당,부산광역시 동구 망양로478번길 16(초량동),051-467-7668,35.11712967,129.0346616
동구,초일부녀경로당,부산광역시 동구 망양로478번길 16(초량동),051-467-0906,35.11712967,129.0346616
동구,우국경로당,부산광역시 동구 초량로60번길 12(초량동),051-468-4291,35.12007807,129.0366737
동구,우국부녀경로당,부산광역시 동구 초량로60번길 12(초량동),051-468-4291,35.12007807,129.0366737
동구,화신경로당,"부산광역시 동구 망양로 516-4 , 상가 2층(초량동, 화신@)",051-467-8915,35.11853012,129.0321671
동구,일팔경로당,부산광역시 동구 영초길211번길 13(초량동),051-464-1788,35.11798151,129.0351880
동구,새마을경로당,부산광역시 동구 초량남로 32(초량동),051-461-0547,35.11936253,129.0328578
동구,초삼경로당,부산광역시 동구 홍곡로23번길 5(초량동),051-468-5488,35.12235017,129.0387103
동구,초삼부녀경로당,부산광역시 동구 홍곡로23번길 5(초량동),051-468-5488,35.12235017,129.0387103
동구,초량동원경로당,"부산광역시 동구 중앙대로286번길 10,102동 403호(초량동, 동원로얄듀크@)",,35.12145984,129.0447549
동구,이편한경로당,"부산광역시 동구 홍곡로 50, 104동 1층(초량동, 이편한세상@)",,35.12420263,129.0413230
동구,연화경로당,부산광역시 동구 초량남로 51-8(초량동),051-468-1877,35.11895911,129.0304830
동구,선화경로당,부산광역시 동구 초량로80번길 32(초량동),051-464-4102,35.12151865,129.0347611
동구,선화부녀경로당,부산광역시 동구 초량로80번길 32(초량동),051-464-4101,35.12151865,129.0347611
동구,정화경로당,부산광역시 동구 구봉중길 5번길 2(초량동),051-468-8807,35.12612045,129.0342159
동구,구봉경로당,부산광역시 동구 망양로610번길 57(초량동),051-462-2673,35.12266556,129.0366188
동구,고관경로당,부산광역시 동구 홍곡로 80-3(수정동),051-467-4460,35.12549241,129.0433253
동구,고관부녀경로당,부산광역시 동구 홍곡로 80-3(수정동),051-467-4460,35.12549241,129.0433253
동구,아르미나경로당,"부산광역시 동구 홍곡남로 50(수정동, 아르미나@)",051-467-1844,35.12565900,129.0375784
동구,수운경로당,부산광역시 동구 망양로737번길 11(수정동),051-468-3332,35.12987374,129.0401226
동구,만리경로당,부산광역시 동구 수정공원로 71-8(수정동),051-467-2662,35.13257805,129.0390598
동구,조양경로당,부산광역시 동구 수정서로 20-1(수정동),051-468-3207,35.13098464,129.0430114
동구,망양경로당,부산광역시 동구 수정서로 20-1(수정동),051-467-5767,35.13098464,129.0430114
동구,망양부녀경로당,부산광역시 동구 수정서로 20-1(수정동),051-468-9774,35.13098464,129.0430114
동구,휴포레경로당,"부산광역시 동구 중앙대로 357, 101동 1층",,35.12730388,129.0464974
동구,남성경로당,부산광역시 동구 수정공원로 5(수정동),051-468-1246,35.12821474,129.0412206
동구,수정4동경로당,"부산광역시 동구 수정공원남로 40, 2층(수정동)",051-441-2566,35.12731991,129.0383565
동구,외솔경로당,부산광역시 동구 수정남로 9-16(수정동),051-465-5353,35.12663243,129.0438775
동구,외솔부녀경로당,부산광역시 동구 수정남로 9-16(수정동),051-465-5353,35.12663243,129.0438775
동구,수정경로당,부산광역시 동구 수정중로37번가길 4(수정동),051-468-2518,35.13228473,129.0448604
동구,수정부녀경로당,부산광역시 동구 수정중로37번가길 4(수정동),051-466-5385,35.13228473,129.0448604
동구,수오경로당,부산광역시 동구 망양로795번길 28(수정동),051-468-7575,35.13442507,129.0412559
동구,수오부녀경로당,부산광역시 동구 망양로795번길 28(수정동),051-441-4987,35.13442507,129.0412559
동구,수동경로당,부산광역시 동구 수정공원북로 13(수정동),051-468-2677,35.13741104,129.0462099
동구,수동부녀경로당,부산광역시 동구 수정공원북로 13(수정동),051-441-0898,35.13741104,129.0462099
동구,좌일경로당,부산광역시 동구 정공단로21번가길 23(좌천동),051-636-2299,35.13604577,129.0539612
동구,좌일부녀경로당,부산광역시 동구 정공단로21번가길 23(좌천동),051-645-8913,35.13604577,129.0539612
동구,쉼터경로당,부산광역시 동구 고관로153번길 8-4(좌천동),051-647-7723,35.13143852,129.0499408
동구,좌이경로당,부산광역시 동구 증산로 51(좌천동),051-644-7523,35.13299795,129.0499389
동구,동원영가정경로당,"부산광역시 동구 고관로 173, 101동 101호(좌천동, 동원드림타운)",051-634-1481,35.13283149,129.0514619
동구,동원가람정경로당,"부산광역시 동구 고관로 173, 101동 102호(좌천동, 동원드림타운)",051-634-1479,35.13283149,129.0514619
동구,능풍장경로당,"부산광역시 동구 능풍길 8, 2층(좌천동)",051-646-1033,35.13211093,129.0472392
동구,능풍장부녀경로당,"부산광역시 동구 능풍길 8, 1층(좌천동)",051-646-1007,35.13211093,129.0472392
동구,성북경로당,"부산광역시 동구 성북로22번길 17, 상가2층(좌천동, 좌천@)",051-634-3796,35.13624973,129.0502001
동구,좌사경로당,부산광역시 동구 성북로55번길 22(좌천동),051-631-3023,35.13810635,129.0481501
동구,학원경로당,부산광역시 동구 성북로55번길 2(좌천동),051-645-1793,35.13817475,129.0485789
동구,동심경로당,부산광역시 동구 증산로8번길 9(좌천동),051-631-6057,35.13473153,129.0464828
동구,좌수경로당,부산광역시 동구 증산로8번길 9(좌천동),051-646-8929,35.13473153,129.0464828
동구,좌천서린엘마르경로당,부산광역시 동구 망양로 850(좌천서리엘마르더뷰@),,35.13584135,129.0473968
동구,널박경로당,부산광역시 동구 범곡로33번가길 11(범일동),051-646-2311,35.13995435,129.0553943
동구,한성기린경로당,"부산광역시 동구 중앙대로 514, 617호(범일동, 한성기린@)",051-645-6362,35.13897637,129.0569399
동구,범일경로당,부산광역시 동구 증산동로 74-1(범일동),051-647-2397,35.13785103,129.0536773
동구,증산경로당,부산광역시 동구 증산로 153-8(범일동),051-631-6640,35.13943785,129.0526004
동구,증산부녀경로당,부산광역시 동구 증산로 153-8(범일동),051-631-8063,35.13943785,129.0526004
동구,호천경로당,"부산광역시 동구 범곡로 46, 2층(범일동)",051-644-8123,35.14111171,129.0539498
동구,호천부녀경로당,부산광역시 동구 범곡로 46(범일동),051-635-3915,35.14111171,129.0539498
동구,삼상경로당,부산광역시 동구 성북로 58-1(범일동),051-636-9272,35.13863565,129.0484422
동구,삼상부녀경로당,부산광역시 동구 성북로 58-1(범일동),051-635-8204,35.13863565,129.0484422
동구,범곡경로당,부산광역시 동구 범내남로 27-1(범일동),051-631-2939,35.14183437,129.0496245
동구,범곡부녀경로당,부산광역시 동구 범내남로 27-1(범일동),051-645-6362,35.14183437,129.0496245
동구,범성경로당,"부산광역시 동구 안창로 57, 동구종합사회복지관 3층(범일동)",051-645-4932,35.14562834,129.0424303
동구,범이경로당,부산광역시 동구 범일로89번길 46(범일동),051-646-2010,35.13967209,129.0588144
동구,범이부녀경로당,부산광역시 동구 범일로89번길 46(범일동),051-637-2323,35.13967209,129.0588144
동구,자성대경로당,부산광역시 동구 자성로75번길 30-8(범일동),051-631-7628,35.13605144,129.0605341
동구,동천경로당,부산광역시 동구 자성로140번길 31(범일동),051-647-6717,35.13547912,129.0651462
동구,두산포세이돈경로당,"부산광역시 동구 자성로116번길 2, 102동 1층(범일동, 두산위브포세이돈2@)",051-646-6657,35.13571028,129.0634594
동구,두산포세이돈부녀경로당,"부산광역시 동구 자성로116번길 2, 102동 1층(범일동, 두산위브포세이돈2@)",051-636-6658,35.13571028,129.0634594
동구,마제스타워경로당,"부산광역시 동구 자성로133번길 6, 101동 4층(범일동, 진흥마제스타워)",051-633-8428,35.13759561,129.0653494
동구,항덕경로당,부산광역시 동구 성남로33번길 14-1(좌천동),051-631-0756,35.12968491,129.0536158
동구,항덕부녀경로당,부산광역시 동구 성남로33번길 14-1(좌천동),051-645-2246,35.12968491,129.0536158
동구,수남경로당,부산광역시 동구 충장대로289번길 17(좌천동),051-647-4574,35.12698728,129.0518256
동구,수남부녀경로당,부산광역시 동구 충장대로289번길 17(좌천동),051-645-8226,35.12698728,129.0518256
동구,오션브릿지경로당,"부산광역시 동구 범일로 41, 101동 3층(범일동, 오션브릿지@)",,35.13379776,129.0584968
영도구,대교경로당,부산광역시 영도구 태종로 97-6(대교동2가) ,051-413-7049,35.09179332,129.0417767
영도구,대평경로당,부산광역시 영도구 대평로27번길 8-8(대평동1가),051-416-1892,35.09123853,129.0339392
영도구,대동대교경로당,부산광역시 영도구 대평로6번길 17(대평동1가),051-415-0712,35.09106112,129.0367665
영도구,남항경로당,부산광역시 영도구 남항남로36(남항동3가),051-416-8341,35.08439135,129.0377456
영도구,신남항경로당,부산광역시 영도구 남항서로 82번길 59-5(남항동2가),051-418-0102,35.08691641,129.0386659
영도구,동부산아이존빌아파트경로당,부산광역시 영도구 영선대로98(영선동2가),051-413-1130,35.08833797,129.0431693
영도구,영선2동경로당,부산광역시 영도구 작은시장2길 38(영선동4가),051-417-1532,35.08400636,129.0405919
영도구,이송도경로당,부산광역시 영도구 향토길12(영선동4가),051-416-1663,35.07844294,129.0460257
영도구,대원아파트경로당,부산광역시 영도구 남항새싹길 79(영선동4가),051-416-6181,35.08250000,129.0438515
영도구,영선반도보라경로당,부산광역시 영도구 해안산책길30(영선동4가),051-983-8800,35.08244832,129.0404295
영도구,산정경로당,부산광역시 영도구 중복4길 68(신선동1가),051-418-8488,35.08877409,129.0490310
영도구,기로경로당,부산광역시 영도구 영봉길 106(신선동1가),051-418-6690,35.09090533,129.0454503
영도구,신선경로당,부산광역시 영도구 하나길 542(신선동2가),051-418-0880,35.08743276,129.0467438
영도구,영로경로당,부산광역시 영도구 하나길 333(신선동3가),051-412-6522,35.08380352,129.0453047
영도구,애향경로당,부산광역시 영도구 개나리길26(신선동3가),051-412-8034,35.08594942,129.0431498
영도구,복지경로당,부산광역시 영도구 산정길138(신선동2가),051-417-7016,35.08121547,129.0475086
영도구,영광그린아파트경로당,부산광역시 영도구 중복길270(신선동2가),051-416-7366,35.08424366,129.0475693
영도구,봉친경로당,부산광역시 영도구 절영로7번길 13-3(봉래동2가),051-415-3547,35.09342978,129.0412053
영도구,미광마린타워경로당,부산광역시 영도구 대교로14번길 17(봉래동2가),051-416-3910,35.09455650,129.0433035
영도구,봉래1동경로당,부산광역시 영도구 대교로14번길 4-25(봉래동3가),051-413-3145,35.09351339,129.0440579
영도구,봉래3동경로당,"부산광역시 영도구 영봉길182, A동110호(봉래동3가) 봉래아파트",051-412-1854,35.09176119,129.0455051
영도구,유림아파트경로당,부산광역시 영도구 봉래길94(봉래동4가),051-418-1022,35.09109116,129.0510567
영도구,새마을경로당,부산광역시 영도구 봉래길112(봉래동5가),051-417-0040,35.09166190,129.0517659
영도구,봉래동경로당,부산광역시 영도구 하나길 753(봉래동5가),051-417-1927,35.09448179,129.0529757
영도구,청학1동경로당,부산광역시 영도구 해양로 48-1(청학동),051-418-3962,35.09733673,129.0604925
영도구,봉학경로당,부산광역시 영도구 청학서로16번길55(청학동),051-413-8271,35.09376587,129.0585817
영도구,건곤경로당,부산광역시 영도구 태종로292번길72(청학동),051-417-0599,35.09597277,129.0556600
영도구,해돋이경로당,부산광역시 영도구 해돋이3길404(청학동),051-416-8326,35.08950805,129.0558508
영도구,청송경로당,부산광역시 영도구 청학서로45번길22(청학동),051-417-2993,35.09535922,129.0557289
영도구,신도브래뉴아파트경로당,부산광역시 영도구 태종로260(청학동),051-412-4935,35.09800388,129.0563553
영도구,산복경로당,부산광역시 영도구 와치로27번길16(청학동),051-416-0133,35.08962075,129.0594602
영도구,일산봉경로당,부산광역시 영도구 일산봉로35-7(청학동),051-416-3625,35.08490344,129.0649370
영도구,학수경로당,부산광역시 영도구 청학동로32-6(청학동),051-416-0864,35.09011516,129.0627018
영도구,화신아파트경로당,부산광역시 영도구 태종로358번길3(청학동),051-413-4588,35.09346799,129.0627454
영도구,학성경로당,부산광역시 영도구 청학로19(청학동),051-415-2550,35.09165143,129.0612303
영도구,조내기경로당,부산광역시 영도구 벚꽃길5번길 13(청학동),051-413-8298,35.08625765,129.0585284
영도구,청로경로당,부산광역시 영도구 청학남로64번길 10-4(청학동),051-417-8688,35.08858874,129.0640748
영도구,인애경로당,부산광역시 영도구 태종로 340(청학동)천주교청학동성당내,051-412-2301,35.09542891,129.0621896
영도구,청이칠경로당,부산광역시 영도구 청학남로59번길 17(청학동),051-415-2383,35.08964413,129.0639898
영도구,일신마리나아파트경로당,부산광역시 영도구 조내기로 33(청학동),051-413-0068,35.08694851,129.0630116
영도구,한라아파트경로당,부산광역시 영도구 태종로 428(청학동),051-413-2661,35.08935750,129.0678792
영도구,청학2동삼창아파트경로당,부산광역시 영도구 청학동 광암길 6(청학동),051-415-5537,35.09223503,129.0666227
영도구,청학미주아파트경로당,부산광역시 영도구 일산봉로 62(청학동),051-413-2429,35.08757345,129.0657504
영도구,원우엔리치빌아파트경로당,부산광역시 영도구 조내기로 38(청학동),051-412-1603,35.08544459,129.0628495
영도구,롯데낙천대아파트경로당,부산광역시 영도구 청학남로 48(청학동),051-416-5050,35.08813040,129.0618645
영도구,한일유앤아이아파트경로당,부산광역시 영도구 일산봉로 58(청학동),051-413-6713,35.08720884,129.0651864
영도구,남극경로당,부산광역시 영도구 웃서발로 39번길16(동삼동),051-404-0293,35.08008226,129.0678569
영도구,백수경로당,"부산광역시 영도구 절영로 504-20(동삼동,조양비취맨션)",051-403-0661,35.07093439,129.0707636
영도구,동삼경로당,부산광역시 영도구 동삼로50번길 27(동삼동),051-405-4559,35.07790899,129.0720391
영도구,삼창파크경로당,"부산광역시 영도구 절영로 553(동삼동,삼창파크타운)",051-404-2321,35.07483440,129.0721304
영도구,중리경로당,부산광역시 영도구 중리북로39번길 2-6(동삼동),051-405-0383,35.07193656,129.0685400
영도구,경전아파트경로당,부산광역시 영도구 동삼동로 10(동삼동),051-405-8356,35.08089743,129.0714971
영도구,함지그린아파트경로당,"부산광역시 영도구 함지로 8(동삼동,함지그린아파트)",051-405-9366,35.07129101,129.0619969
영도구,반도보라아파트경로당,"부산광역시 영도구 함지로 19(동삼동,반도보라비치타운)",051-405-9663,35.07180114,129.0603589
영도구,절영경로당,"부산광역시 영도구 함지로 33-10(동삼동,절영종합사회복지관내)",051-405-3988,35.07221265,129.0617457
영도구,와치경로당,"부산광역시 영도구 함지로79번길 76(동삼동,와치종합사회복지관)",051-403-0635,35.07600143,129.0655229
영도구,삼창파크타운56동경로당,"부산광역시 영도구 절영로 551(동삼동,삼창파크타운)",,35.07480938,129.0729196
영도구,벽산아파트경로당,"부산광역시 영도구 와치로 266(동삼동,벽산비치타운)",051-405-9980,35.07542577,129.0694737
영도구,국제마마아파트경로당,"부산광역시 영도구 중리로 32(동삼동,국제마마뉴비치타운)",051-405-9823,35.07248026,129.0692379
영도구,절영아파트경로당,부산광역시 영도구 와치로 231(동삼동),051-403-6121,35.07672991,129.0677583
영도구,절영3차아파트경로당,부산광역시 영도구 와치로 287(동삼동),051-403-2236,35.07431494,129.0717508
영도구,삼창그린아파트경로당,"부산광역시 영도구 태종로700번길 19(동삼동,삼창그린타운)",051-404-3152,35.07157298,129.0749932
영도구,에덴금호아파트경로당,부산광역시 영도구 태종로 702(동삼동),051-405-6061,35.07101725,129.0756548
영도구,한진로즈힐아파트경로당,부산광역시 영도구 와치로 294(동삼동),051-404-9351,35.07345454,129.0711913
영도구,롯데캐슬블루오션아파트경로당,"부산광역시 영도구 절영로 521, 101호(동삼동,롯데캐슬블루오션아파트)",051-403-4907,35.07278202,129.0738469
영도구,성진경로당,부산광역시 영도구 본산남길 15(동삼동),051-405-2800,35.06735169,129.0803648
영도구,하리경로당,부산광역시 영도구 태종로773번길 9(동삼동),051-405-1882,35.06795537,129.0814034
영도구,동삼그린힐아파트경로당,"부산광역시 영도구 상리로 1(동삼동,동삼그린힐아파트)",051-404-5436,35.08575941,129.0700913
영도구,동삼주공경로당,"부산광역시 영도구 상리로 30(동삼동,동삼종합사회복지관내",051-405-5070,35.08332730,129.0668355
영도구,도시아파트경로당,부산광역시 영도구 동삼서로61(동삼동),051-405-1760,35.08400517,129.0707153
영도구,동삼희망경로당,"부산광역시 영도구 상리로 1(동삼동,상리종합사회복지관내)",051-404-0430,35.08575941,129.0700913
부산진구,부전1동할머니경로당,부산광역시 부산진구 부전로 130-10(부전동),051-805-9158,35.16085227,129.0560158
